# Issue #153 strict inventory of Quarkdown v2.5.1 layout, pagination, style, and document configuration.
# target_sha=107ec3a9482f10d6f90d7580f8409b46a719d18e
# audit_base=4a9112a9ee840374350dd9a90b65f58cce96eb08
# declared_total=47
# declared_153_owned=20
# declared_cross_owned=27
# Columns: kind	canonical_name	source_declaration	aliases	ownership	status	signature	annotations	pinned_provenance	scribium_evidence	remaining_gap	follow_up
owned	numbering	numbering	none	#153	PARSED_ONLY	numbering(context[injected]: MutableContext, merge[likely-named]: Boolean = true, formats[likely-body]: Map<String, Value<String>>) -> VoidValue	@QFunction; @LikelyNamed(merge); @LikelyBody(formats)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L447-L484;DocumentNumbering.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L11-L30;NumberingFormat.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L126-L173	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No evaluator binding for the body dictionary, numbering-format parser, document-type defaults, merge/replace mutation, or numbering-aware output; the exact upstream storage model also reparses every input key into extra in addition to typed built-ins.	#175;all-input-keys-in-extra;#165-#167;frozen until #156
owned	formatpagenumber	formatPageNumber	none	#153	PARSED_ONLY	formatpagenumber(format: String) -> NodeValue	@QFunction; @Name("formatpagenumber")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L842-L844;PageNumberFormatter.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L14	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No page-number format node, format grammar, ordered page scope, or output behavior.	#176;#175;frozen until #156
owned	resetpagenumber	resetPageNumber	none	#153	PARSED_ONLY	resetpagenumber(start[alias]: Int = 1) -> NodeValue	@QFunction; @Name("resetpagenumber"); @Name("start")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L858-L862;PageNumberReset.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L14	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No reset node, page-order semantics, validation, or renderer behavior.	#176;#175;frozen until #156
owned	lastheading	lastHeading	none	#153	PARSED_ONLY	lastheading(depth: Int) -> NodeValue	@QFunction; @NotForDocumentType(PLAIN); @Name("lastheading")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L917-L920;LastHeading.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L14	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No depth validation, page-aware heading history, state/IR node, or running-heading output.	#176;#175;frozen until #156
owned	autopagebreak	autoPageBreak	none	#153	PARSED_ONLY	autopagebreak(context[injected]: MutableContext, maxdepth[alias]: Int) -> VoidValue	@QFunction; @Name("autopagebreak"); @Name("maxdepth")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L937-L949;ContextOptions.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L9-L56;MutableContextOptions.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L8-L15	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No context option mutation, negative-depth failure, heading interaction, or backend page-break behavior.	#175;#167;frozen until #156
owned	noautopagebreak	disableAutoPageBreak	none	#153	PARSED_ONLY	noautopagebreak(context[injected]: MutableContext) -> VoidValue	@QFunction; @Name("noautopagebreak")	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L956-L960;ContextOptions.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L9-L56	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No zero-threshold mutation or heading/page-break output.	#175;#167;frozen until #156
owned	marker	marker	none	#153	PARSED_ONLY	marker(name: InlineMarkdownContent) -> NodeValue	@QFunction; no callable-name alias annotation	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L973-L974;Heading.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L1-L90	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No marker node, heading-location registration, cross-reference, or TOC output.	#177;#160;#165-#167;frozen until #156
owned	navigation	navigationContainer	none	#153	PARSED_ONLY	navigation(role: NavigationContainer.Role? = null, content[body]: MarkdownContent) -> NodeValue	@QFunction; @Name("navigation"); @Body(content)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L996-L1005;NavigationContainer.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L10-L33	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No closed role conversion, structured navigation node, accessibility metadata, or renderer behavior.	#177;#165-#167;frozen until #156
owned	tableofcontents	tableOfContents	none	#153	PARSED_ONLY	tableofcontents(context[injected]: Context, title[likely-named]: InlineMarkdownContent? = null, maxdepth[alias]: Int = 3, breakpage[alias]: Boolean = true, headingdepth[alias]: Int? = null, numberheading[alias]: Boolean = false, indexheading[alias]: Boolean = false, focus[alias]: InlineMarkdownContent? = null) -> NodeValue	@QFunction; @Name("tableofcontents"); @LikelyNamed(title); @Name(maxdepth,breakpage,headingdepth,numberheading,indexheading,focus)	Document.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L1029-L1060;TableOfContentsView.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L10-L30;DocumentType.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L9-L61	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No title/depth/focus binding, document-type defaults, heading-location policy, TOC node, or output.	#177;#160;#165-#167;frozen until #156
owned	slides	setSlidesConfiguration	none	#153	PARSED_ONLY	slides(center[likely-named]: Boolean? = null, controls: Boolean? = null, speakernotes: Boolean? = null, transition: Transition.Style? = null, speed: Transition.Speed = Transition.Speed.DEFAULT) -> NodeValue	@QFunction; @OnlyForDocumentType(SLIDES); @Name("slides"); @LikelyNamed(center)	Slides.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L21-L47;SlidesConfigurationInitializer.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L7-L21;Transition.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L6-L38	evaluator.rs#L1536-L1548;ir/lib.rs#L375-L405;stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	No slides document-type gate, nullable configuration node, closed transition conversion, or slide backend.	#178;#165-#167;frozen until #156
cross-owned	container	container	none	#154	NOT_APPLICABLE	container(width[likely-named]: Size? = null, height[likely-named]: Size? = null, fullwidth[alias]: Boolean = false, float[likely-named]: Container.FloatAlignment? = null, fullspan[alias]: Boolean = false, classname[alias]: String? = null, style[spread]: StyleOptions = StyleOptions.DEFAULT, body[body]: MarkdownContent? = null) -> NodeValue	@QFunction; @LikelyNamed(width,height,float); @Name(fullwidth,fullspan,classname); @Spread(style); @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L111-L145	quarkdown_container.rs;IrComponent::Container;typst::lower_container	Component-local node and backend behavior; not document-wide mutable configuration.	#154;existing bounded #114;handoff only
cross-owned	align	align	none	#154	NOT_APPLICABLE	align(alignment: NodeStyle.Alignment, body[body]: MarkdownContent) -> inferred	@QFunction; @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L147-L164	quarkdown_align.rs;IrComponent::Container;typst::lower_container	Component-local alignment node; not document state.	#154;existing bounded #113;handoff only
cross-owned	center	center	none	#154	NOT_APPLICABLE	center(body[body]: MarkdownContent) -> inferred	@QFunction; @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L166-L177	quarkdown_center.rs;IrComponent::Container;typst::lower_container	Component-local alignment node; not document state.	#154;existing bounded #112;handoff only
cross-owned	float	float	none	#154	NOT_APPLICABLE	float(alignment[likely-named]: Container.FloatAlignment, body[body]: MarkdownContent) -> inferred	@QFunction; @LikelyNamed(alignment); @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L179-L194	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Component-local floating behavior; #153 does not classify it as document state.	#154;handoff only
cross-owned	row	row	none	#154	NOT_APPLICABLE	row(alignment[alias]: Stacked.MainAxisAlignment = START, cross[alias]: Stacked.CrossAxisAlignment = CENTER, gap[likely-named]: Size? = null, body[body]: MarkdownContent) -> inferred	@QFunction; @Name(alignment,cross); @LikelyNamed(gap); @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L218-L234	quarkdown_stacked_layout.rs;typst::lower_stacked	Component-local stack node, explicitly excluded from DocumentState.	#154;existing bounded #111;handoff only
cross-owned	column	column	none	#154	NOT_APPLICABLE	column(alignment[alias]: Stacked.MainAxisAlignment = START, cross[alias]: Stacked.CrossAxisAlignment = CENTER, gap[likely-named]: Size? = null, body[body]: MarkdownContent) -> inferred	@QFunction; @Name(alignment,cross); @LikelyNamed(gap); @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L236-L252	quarkdown_stacked_layout.rs;typst::lower_stacked	Component-local stack node, explicitly excluded from DocumentState.	#154;existing bounded #111;handoff only
cross-owned	grid	grid	none	#154	NOT_APPLICABLE	grid(columns: Int, alignment[alias]: Stacked.MainAxisAlignment = CENTER, cross[alias]: Stacked.CrossAxisAlignment = CENTER, gap[likely-named]: Size? = null, vgap[alias]: Size? = gap, hgap[alias]: Size? = gap, body[body]: MarkdownContent) -> inferred	@QFunction; @Name(alignment,cross,vgap,hgap); @LikelyNamed(gap); @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L254-L286	quarkdown_stacked_layout.rs;typst::lower_grid	Component-local stack node; only pageformat.columns is document-scoped in this sweep.	#154;existing bounded #111;handoff only
cross-owned	landscape	landscape	none	#154	NOT_APPLICABLE	landscape(body[body]: MarkdownContent) -> inferred	@QFunction; @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L303-L317	quarkdown_landscape.rs;typst::lower_landscape	Component-local orientation/reflow node, not global page orientation.	#154;existing bounded #115;handoff only
cross-owned	fullspan	fullColumnSpan	none	#154	NOT_APPLICABLE	fullspan(body[body]: MarkdownContent) -> inferred	@QFunction; @Name("fullspan"); @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L319-L333	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Component-local multi-column span behavior; not document state.	#154;handoff only
cross-owned	whitespace	whitespace	none	#154	NOT_APPLICABLE	whitespace(width[likely-named]: Size? = null, height[likely-named]: Size? = null) -> inferred	@QFunction; @LikelyNamed(width,height)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L335-L348	quarkdown_whitespace.rs;typst::lower_whitespace	Component-local spacing value; not paragraph/document style state.	#154;existing bounded #116;handoff only
cross-owned	clip	clip	none	#154	NOT_APPLICABLE	clip(body[body]: MarkdownContent) -> inferred	@QFunction; @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L349-L368	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Component-local clipping behavior; not document state.	#154;handoff only
cross-owned	box	box	none	#154	NOT_APPLICABLE	box(context[injected]: Context, title[likely-named]: InlineMarkdownContent? = null, type[likely-named]: Box.Type = CALLOUT, padding[likely-named]: Size? = null, background: Color? = null, foreground: Color? = null, body[body]: MarkdownContent) -> NodeValue	@QFunction; @LikelyNamed(title,type,padding); @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L370-L379	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Component-local styled box; not global style state.	#154;handoff only
cross-owned	todo	toDo	none	#154	NOT_APPLICABLE	todo(content[body]: MarkdownContent) -> inferred	@QFunction; @Name("todo"); @Body(content)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L405-L413	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Content/component behavior; not document configuration.	#154;handoff only
cross-owned	collapse	collapse	none	#154	NOT_APPLICABLE	collapse(summary[body]: MarkdownContent, body[body]: MarkdownContent) -> inferred	@QFunction; @Body(summary,body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L430-L443	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Content disclosure node; not document state.	#154;handoff only
cross-owned	textcollapse	inlineCollapse	none	#154	NOT_APPLICABLE	textcollapse(summary: InlineMarkdownContent, body: InlineMarkdownContent) -> inferred	@QFunction; @Name("textcollapse")	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L446-L453	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Inline content node; not document state.	#154;handoff only
cross-owned	numbered	numbered	none	#154	NOT_APPLICABLE	numbered(key: String, ref[likely-named]: String? = null, body[body]: MarkdownContent) -> inferred	@QFunction; @LikelyNamed(ref); @Body(body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L478-L499	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Local numbered node consumes document numbering but is not the global numbering setter.	#154;global policy remains #153;handoff only
cross-owned	table	table	none	#154	NOT_APPLICABLE	table(caption[likely-named]: InlineMarkdownContent? = null, ref: String? = null, header[body]: MarkdownContent, body[body]: MarkdownContent) -> NodeValue	@QFunction; @LikelyNamed(caption); @Body(header,body)	Layout.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L514-L535	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Table content/caption output is #154; `.captionposition` state remains #153.	#154;handoff only
cross-owned	heading	heading	none	#154	NOT_APPLICABLE	heading(level: Int, numbered: Boolean = true, ref: String? = null, body[body]: MarkdownContent) -> NodeValue	@QFunction; @Body(body)	Primitives.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L63-L78	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Heading content and local numbering node; global numbering policy is #153.	#154;handoff only
cross-owned	paragraph	paragraph	none	#154	NOT_APPLICABLE	paragraph(body[body]: MarkdownContent) -> NodeValue	@QFunction; @Body(body)	Primitives.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L98-L111	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Paragraph content primitive; paragraphstyle remains #153.	#154;handoff only
cross-owned	pagebreak	pageBreak	none	#154	NOT_APPLICABLE	pagebreak() -> inferred	@QFunction; @Name("pagebreak")	Primitives.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L219-L221	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Explicit content break node; automatic page-break policy remains #153.	#154;handoff only
cross-owned	code	code	none	#154	NOT_APPLICABLE	code(lang: String? = null, caption[likely-named]: InlineMarkdownContent? = null, linenumbers: Boolean = true, focus: Range? = null, ref: String? = null, code[likely-body]: EvaluableString) -> NodeValue	@QFunction; @LikelyNamed(caption); @LikelyBody(code)	Primitives.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L251-L259	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Code content/caption output is #154; code caption state is #153.	#154;handoff only
cross-owned	math	math	none	#154	NOT_APPLICABLE	math(call[injected]: FunctionCall<*>, content[body]: EvaluableString, block[likely-named]: Boolean? = null, ref: String? = null, style[spread]: StyleOptions = StyleOptions.DEFAULT) -> NodeValue	@QFunction; @Body(content); @LikelyNamed(block); @Spread(style)	Primitives.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L292-L299	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Math content/TeX rendering is #154; `.texmacro` configuration remains #153.	#154;handoff only
cross-owned	figure	figure	none	#154	NOT_APPLICABLE	figure(caption[likely-named]: InlineMarkdownContent? = null, ref: String? = null, body[body]: MarkdownContent) -> NodeValue	@QFunction; @LikelyNamed(caption); @Body(body)	Primitives.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L338-L343	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Figure content/caption output is #154; figure caption position is #153.	#154;handoff only
cross-owned	text	text	none	#154	NOT_APPLICABLE	text(text[body]: InlineMarkdownContent, size[likely-named]: TextTransformData.Size? = null, weight[likely-named]: TextTransformData.Weight? = null, style[likely-named]: TextTransformData.Style? = null, decoration[likely-named]: TextTransformData.Decoration? = null, case[likely-named]: TextTransformData.Case? = null, variant[likely-named]: TextTransformData.Variant? = null, script[likely-named]: TextTransformData.Script? = null, color[likely-named]: Color? = null, url[likely-named]: String? = null, classname: String? = null) -> NodeValue	@QFunction; @LikelyNamed(size,weight,style,decoration,case,variant,script,color,url); @Body(text)	Text.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L25-L74	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Inline/local text style node; `.font` is the document-wide font state owned by #153.	#154;handoff only
cross-owned	fragment	fragment	none	#154	NOT_APPLICABLE	fragment(behavior: SlidesFragment.Behavior = SHOW, content[body]: MarkdownContent) -> inferred	@QFunction; @OnlyForDocumentType(SLIDES); @Body(content)	Slides.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L49-L65	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Slide content primitive; `.slides` global configuration remains #153.	#154;handoff only
cross-owned	speakernote	speakerNote	none	#154	NOT_APPLICABLE	speakernote(content[likely-body]: MarkdownContent) -> NodeValue	@QFunction; @OnlyForDocumentType(SLIDES); @LikelyBody(content)	Slides.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L67-L82	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Slide speaker-note content primitive; global `speakernotes` option is #153.	#154;handoff only
cross-owned	htmloptions	htmlOptions	none	#154	NOT_APPLICABLE	htmloptions(title: String? = null, description: String? = null, keywords: String? = null, author: String? = null, language: String? = null, baseurl: String? = null) -> VoidValue	@QFunction; @Name("htmloptions")	Html.kt@107ec3a9482f10d6f90d7580f8409b46a719d18e#L41-L49	stdlib_builtin_audit::pinned_public_surface_is_complete_and_unique	Target-specific HTML output configuration; not document layout state and not #153-owned.	#154;handoff only
